id,content,ngram,final_features,tfidf_sum
522878563322966016,"@OGloboPolitica @dilmabr Socorro! Dilma ficou presa no aeroporto de Claudio em Minas Gerais, enquanto Aécio está conquistando votos.","['oglobopolitica dilmabr socorro', 'dilmabr socorro dilma', 'socorro dilma ficou', 'dilma ficou presa', 'ficou presa aeroporto', 'presa aeroporto claudio', 'aeroporto claudio minas', 'claudio minas gerais', 'minas gerais enquanto', 'gerais enquanto aécio', 'enquanto aécio conquistando', 'aécio conquistando votos']","(262144,[3182,40330,55508,72907,122244,135889,159015,165835,200192,207281,230022,254242],[8.831221560633498,9.072383617450384,9.072383617450384,8.831221560633498,8.905329532787219,8.762228689146546,8.63706554619254,8.697690168008975,8.905329532787219,8.985372240460755,9.6785194210207,9.273054312912537])",107.65179979948425
522396781653803008,Será que a Rede Globo está sendo paga p/ toda hora falar mal do Aecio Neves Tá dando na cara! Coisa feia!A Dilma tá cada dia pior que todos,"['rede globo', 'globo sendo', 'sendo paga', 'paga toda', 'toda hora', 'hora falar', 'falar mal', 'mal aecio', 'aecio neves', 'neves dando', 'dando cara', 'cara coisa', 'coisa feiaa', 'feiaa dilma', 'dilma cada', 'cada dia', 'dia pior', 'pior todos']","(262144,[3859,6010,7767,14544,29461,63999,64311,64687,70189,71065,84935,119330,143811,144432,172828,175221,219832,254486],[9.6785194210207,0.0,0.0,9.524368741193442,6.414033084900447,0.0,8.379236436890439,0.0,9.524368741193442,9.273054312912537,9.16769379725471,9.524368741193442,9.6785194210207,0.0,7.914930828759342,8.985372240460755,0.0,8.425756452525333])",106.49022221932529
523146018066800640,"Aécio Neves fala que vai combater a corrupção, sendo que ele desviou dinheiro do povo pra construir um aeroporto particular, que absurdo","['aécio neves', 'neves fala', 'fala vai', 'vai combater', 'combater corrupção', 'corrupção sendo', 'sendo desviou', 'desviou dinheiro', 'dinheiro povo', 'povo pra', 'pra construir', 'construir aeroporto', 'aeroporto particular', 'particular absurdo']","(262144,[54747,56339,62947,73903,121844,135042,149657,150316,172923,177356,232439,237802,260027,261327],[9.16769379725471,9.16769379725471,0.0,9.072383617450384,8.762228689146546,9.6785194210207,9.39083734856892,9.524368741193442,0.0,9.39083734856892,9.6785194210207,4.636170151434917,8.579907132352592,9.273054312912537])",106.32221377817908
522869352224145408,"Bateu na mulher, roubou bilhões da saúde pública, e ainda quer ter moral, Aécio vai se fuder porra #EMABiggestFansJustinBieber #Beliebers","['bateu mulher', 'mulher roubou', 'roubou bilhões', 'bilhões saúde', 'saúde pública', 'pública ainda', 'ainda quer', 'quer ter', 'ter moral', 'moral aécio', 'aécio vai', 'vai fuder', 'fuder porra', 'porra emabiggestfansjustinbieber', 'emabiggestfansjustinbieber beliebers']","(262144,[39373,51444,70753,77361,112523,129202,140962,148847,164324,193296,203793,244697,254619,255440,260576],[5.483826884964318,9.6785194210207,0.0,8.138074380073553,0.0,9.524368741193442,0.0,9.39083734856892,9.6785194210207,8.762228689146546,9.072383617450384,8.831221560633498,9.273054312912537,8.985372240460755,8.985372240460755])",105.80377885790611
522873757917265920,"""aécio fala e só escuto """"blá blá blá minas gerais blá blá blá mentirosa blá blá blá minas gerais blá blá blá"""" #debatenosbt #dilminha13""","['aécio fala', 'fala escuto', 'escuto blá', 'blá blá', 'blá blá', 'blá minas', 'minas gerais', 'gerais blá', 'blá blá', 'blá blá', 'blá mentirosa', 'mentirosa blá', 'blá blá', 'blá blá', 'blá minas', 'minas gerais', 'gerais blá', 'blá blá', 'blá blá', 'blá debatenosbt', 'debatenosbt dilminha13']","(262144,[2551,5075,10232,36797,40786,60437,101579,160530,197503,200707,211458],[9.273054312912537,0.0,9.6785194210207,0.0,0.0,11.53299283118511,0.0,69.5815213440718,5.647232994765737,0.0,0.0])",105.71332090395589
523492868938145792,@ConversaAfiada Eo Famigerado Fator Previdênciario. FHC PAI MAQUIAVÉLICO DO FAMIGERADO FATOR PREVIDÊNCIARIO AECIO TIO MATANDO APOSENTADOS.,"['conversaafiada famigerado', 'famigerado fator', 'fator previdênciario', 'previdênciario fhc', 'fhc pai', 'pai maquiavélico', 'maquiavélico famigerado', 'famigerado fator', 'fator previdênciario', 'previdênciario aecio', 'aecio tio', 'tio matando', 'matando aposentados']","(262144,[5632,23468,39583,84308,85424,99157,135542,142049,155419,197447,246329],[17.39538033601795,8.831221560633498,0.0,9.072383617450384,9.273054312912537,8.379236436890439,17.27413109238508,8.697690168008975,8.697690168008975,8.831221560633498,8.985372240460755])",105.43738149340209
522879512800153600,Dilma passando mal Aécio deveria ser preso por abuso contra a mulher nesses debates cadê lei Maria da Penha (dúvida),"['dilma passando', 'passando mal', 'mal aécio', 'aécio deveria', 'deveria preso', 'preso abuso', 'abuso contra', 'contra mulher', 'mulher nesses', 'nesses debates', 'debates cadê', 'cadê lei', 'lei maria', 'maria penha', 'penha dúvida']","(262144,[54182,72928,79113,79369,101829,111011,139343,150820,167192,191177,199416,200205,230608,238174,249648],[9.6785194210207,0.0,9.16769379725471,7.973771328782275,7.265586270857789,7.973771328782275,8.212182352227273,9.273054312912537,8.985372240460755,8.379236436890439,9.524368741193442,9.39083734856892,0.0,0.0,8.905329532787219])",104.72972311173834
522585562679898112,Acho melhor devolver o país pros índios e pedir desculpas! Nem a Dilma nem o Aécio vão fazer bosta nenhuma .,"['acho melhor', 'melhor devolver', 'devolver país', 'país pros', 'pros índios', 'índios pedir', 'pedir desculpas', 'desculpas dilma', 'dilma aécio', 'aécio vão', 'vão fazer', 'fazer bosta', 'bosta nenhuma']","(262144,[51383,72729,75632,78125,110428,127211,177045,191054,205711,212317,219117,241052,251717],[9.16769379725471,9.6785194210207,0.0,9.16769379725471,8.379236436890439,9.6785194210207,8.251403065380556,9.273054312912537,9.6785194210207,8.579907132352592,8.29222505990081,4.715674790760794,9.16769379725471])",104.03014045302396
522578454513221633,"""— Dilma ou Aécio? — Dois hambúrgueres, alface, queijo molho especial, cebola picles num pão com gergelim.""""  NEEEEH?""","['dilma aécio', 'aécio dois', 'dois hambúrgueres', 'hambúrgueres alface', 'alface queijo', 'queijo molho', 'molho especial', 'especial cebola', 'cebola picles', 'picles pão', 'pão gergelim', 'gergelim neeeeh']","(262144,[76582,96245,109775,110679,129730,155180,159222,193643,235796,241052,242427,261496],[8.985372240460755,8.905329532787219,9.072383617450384,8.985372240460755,8.474546616694765,8.762228689146546,8.985372240460755,9.6785194210207,9.16769379725471,4.715674790760794,8.831221560633498,8.905329532787219])",103.46904427991812
523549912899010561,"""""""@lobaoeletrico: @rtoffoli e vamos todos pra Copacabana manhã mostar toda a força de Aécio no Rio ! A hora é essa!"""" http://t.co/7azqjVSCLm""","['lobaoeletrico rtoffoli', 'rtoffoli vamos', 'vamos todos', 'todos pra', 'pra copacabana', 'copacabana manhã', 'manhã mostar', 'mostar toda', 'toda força', 'força aécio', 'aécio rio', 'rio hora', 'hora httptco7azqjvsclm']","(262144,[4788,48108,84521,96405,99565,101698,110648,153305,156222,179971,189531,227369,242020],[0.0,9.524368741193442,8.697690168008975,9.16769379725471,0.0,9.524368741193442,9.39083734856892,9.524368741193442,9.072383617450384,9.6785194210207,9.16769379725471,9.6785194210207,9.6785194210207])",103.10496321518012
